"relative_path","bytes","last_write_time"
"01_local_reports_md_csv\Task7视图标签工作包_2026-05-15\task7_viewtype_priority_template_localized.csv","67975","2026-05-15T16:35:45"
"01_local_reports_md_csv\Task7视图标签工作包_2026-05-15\task7_viewtype_seed_labels.csv","2161","2026-05-15T17:34:22"
"01_local_reports_md_csv\Task7项目完成度评估.md","41315","2026-05-31T18:29:56"
"01_local_reports_md_csv\Task7新数据二分类冲刺计划_2026-05-15.md","14217","2026-05-15T14:41:23"
"01_local_reports_md_csv\复现结果报告.md","5454","2026-05-01T11:08:37"
"01_local_reports_md_csv\混淆矩阵与错误分布_2026-05-13\Task56混淆矩阵与错误分布简报_2026-05-13.md","3280","2026-05-13T15:12:47"
"01_local_reports_md_csv\模型结果与纯视觉审阅对照简报_2026-05-09.md","6261","2026-05-09T20:34:39"
"01_local_reports_md_csv\三批数据集外部泛化拒识增强方案报告_.md","14256","2026-06-23T20:12:01"
"01_local_reports_md_csv\项目阶段性工作详报.md","68522","2026-05-30T09:59:45"
"01_local_reports_md_csv\胸腺影像分析后续进展简报_2026-05-07.md","6032","2026-05-07T22:03:41"
"01_local_reports_md_csv\胸腺影像分析阶段进展与后续计划_2026-05-07.md","6609","2026-05-07T17:12:17"
"01_local_reports_md_csv\胸腺影像分析阶段性总结与扩库建议_2026-05-07.md","13404","2026-05-07T23:43:19"
"01_local_reports_md_csv\胸腺影像分析实验结果与阶段结论_2026-05-09.md","26068","2026-05-12T17:20:04"
"01_local_reports_md_csv\医生关注点与当前进展_2026-05-15.md","8250","2026-05-15T14:09:38"
"01_local_reports_md_csv\重要实验结果数据表_2026-05-08.md","4601","2026-05-08T00:16:09"
"01_local_reports_md_csv\转换.md","73578","2026-05-26T21:01:23"
"02_local_scripts_py\analyze_external_readable_errors.py","6427","2026-05-25T20:08:51"
"02_local_scripts_py\analyze_full_dataset_image_quality.py","10158","2026-05-09T19:36:29"
"02_local_scripts_py\analyze_grosspath_rc_v29_review_routes_20260527.py","5469","2026-05-27T02:25:06"
"02_local_scripts_py\analyze_grosspath_rc_v49_v37_v48_case_transitions_20260527.py","8469","2026-05-27T04:02:37"
"02_local_scripts_py\analyze_task56_case_review.py","17831","2026-05-09T19:20:35"
"02_local_scripts_py\analyze_third_batch_shift_20260521.py","14744","2026-05-21T16:03:21"
"02_local_scripts_py\append_task7_image_stats_features_20260521.py","7635","2026-05-21T20:17:22"
"02_local_scripts_py\average_task7_feature_variants_20260521.py","3694","2026-05-21T19:29:33"
"02_local_scripts_py\blend_task56_case_runs.py","6043","2026-05-07T23:02:13"
"02_local_scripts_py\blend_task7_curriculum_stage_outputs.py","12270","2026-05-18T18:19:30"
"02_local_scripts_py\blend_task7_groupwise_sources_foldwise_20260520.py","9555","2026-05-20T12:27:27"
"02_local_scripts_py\blend_task7_three_sources_foldwise.py","11718","2026-05-20T11:16:32"
"02_local_scripts_py\build_grosspath_v86_direct_pdf_report_20260527.py","15225","2026-05-27T07:47:08"
"02_local_scripts_py\build_grosspath_v86_pdf_report_20260527.py","16268","2026-05-27T07:40:44"
"02_local_scripts_py\build_multiview_contact_sheet.py","2194","2026-05-15T16:20:33"
"02_local_scripts_py\build_singleview_contact_sheet.py","2047","2026-05-15T16:36:31"
"02_local_scripts_py\build_v53_doctor_report_20260527.py","18400","2026-05-27T04:33:31"
"02_local_scripts_py\compare_task7_external_feature_variants_20260521.py","10778","2026-05-21T17:50:54"
"02_local_scripts_py\concat_task7_feature_variants_20260521.py","6191","2026-05-21T19:20:55"
"02_local_scripts_py\create_external_gpt_quality_labels_v1.py","7283","2026-05-25T20:02:59"
"02_local_scripts_py\create_external_preprocessed_registry_20260525.py","2765","2026-05-25T21:14:28"
"02_local_scripts_py\derive_manual_structured_experience_labels.py","5259","2026-05-11T19:56:57"
"02_local_scripts_py\derive_task7_from_task6_predictions.py","6890","2026-05-13T15:57:40"
"02_local_scripts_py\derive_task7_viewtype_seed_labels.py","2277","2026-05-15T17:33:42"
"02_local_scripts_py\evaluate_hierarchical_gate.py","13785","2026-05-07T17:28:20"
"02_local_scripts_py\evaluate_task4_dino_plip_classblend.py","8987","2026-05-07T21:40:40"
"02_local_scripts_py\evaluate_task7_gross_nested_route_policy_20260521.py","7599","2026-05-21T13:19:48"
"02_local_scripts_py\evaluate_visual_review_guesses.py","1564","2026-05-09T19:58:54"
"02_local_scripts_py\external_quality_gate_v0.py","12836","2026-05-25T19:49:12"
"02_local_scripts_py\extract_task7_external_clip_family_features_20260522.py","6850","2026-05-22T22:47:21"
"02_local_scripts_py\gate_task56_hierarchy.py","7820","2026-05-07T23:09:18"
"02_local_scripts_py\generate_advisor_progress_pdf.py","10383","2026-05-07T17:06:22"
"02_local_scripts_py\generate_dataset_expansion_need_pdf.py","10775","2026-05-07T23:44:53"
"02_local_scripts_py\generate_doctor_review_package.py","39226","2026-05-10T14:22:08"
"02_local_scripts_py\generate_experiment_conclusion_report_pdf.py","7636","2026-05-09T16:51:34"
"02_local_scripts_py\generate_followup_brief_pdf.py","7195","2026-05-07T22:04:26"
"02_local_scripts_py\generate_key_result_tables_pdf.py","11517","2026-05-08T00:16:03"
"02_local_scripts_py\generate_local_handover_progress_pdf.py","6918","2026-05-07T16:26:57"
"02_local_scripts_py\generate_model_vs_visual_review_pdf.py","7519","2026-05-09T20:34:39"
"02_local_scripts_py\generate_task56_case_review_report.py","12696","2026-05-07T23:48:04"
"02_local_scripts_py\generate_task56_confusion_doctor_report.py","15861","2026-05-13T15:30:28"
"02_local_scripts_py\generate_task6_fair_doctor_pdf.py","17183","2026-05-13T23:26:18"
"02_local_scripts_py\generate_task7_curriculum_blend_report_pdf.py","7187","2026-05-18T18:26:31"
"02_local_scripts_py\generate_task7_curriculum_experience_doctor_pdf.py","9274","2026-05-18T23:51:55"
"02_local_scripts_py\generate_task7_doctor_pdf.py","14018","2026-05-13T16:04:11"
"02_local_scripts_py\generate_task7_fair_doctor_pdf.py","15452","2026-05-13T19:28:18"
"02_local_scripts_py\generate_task7_hardcore_persistent_doctor_pdf.py","16246","2026-05-19T14:04:57"
"02_local_scripts_py\generate_task7_negative_attempts_pdf.py","8650","2026-05-16T16:58:08"
"02_local_scripts_py\generate_task7_pre_third_stage_highlight_pdf.py","17460","2026-05-21T16:16:16"
"02_local_scripts_py\generate_task7_stage_report_pdf.py","7691","2026-05-18T14:06:22"
"02_local_scripts_py\generate_task7_third_batch_adaptation_report_pdf.py","16861","2026-05-22T01:52:47"
"02_local_scripts_py\generate_task7_third_batch_adaptation_report_update_20260522.py","18352","2026-05-22T18:05:04"
"02_local_scripts_py\localize_task7_viewtype_priority.py","1167","2026-05-15T16:35:26"
"02_local_scripts_py\markdown_to_pdf_report.py","12826","2026-06-01T00:09:43"
"02_local_scripts_py\merge_core_experience_round1.py","4058","2026-05-10T08:00:15"
"02_local_scripts_py\merge_core_experience_round2.py","4078","2026-05-10T08:20:30"
"02_local_scripts_py\merge_experience_label_pilot_parts.py","2973","2026-05-10T07:30:06"
"02_local_scripts_py\merge_experience_label_round2.py","5556","2026-05-10T07:49:00"
"02_local_scripts_py\merge_visual_review_batches.py","1388","2026-05-09T19:59:28"
"02_local_scripts_py\plot_grosspath_rc_v27_v28_figures_20260527.py","9542","2026-05-27T02:20:18"
"02_local_scripts_py\plot_grosspath_rc_v35_budget_curve_20260527.py","2126","2026-05-27T03:06:57"
"02_local_scripts_py\plot_grosspath_rc_v38_ablation_20260527.py","2580","2026-05-27T03:17:16"
"02_local_scripts_py\prepare_background_normalized_dataset_20260521.py","5720","2026-05-22T20:25:45"
"02_local_scripts_py\prepare_core_experience_label_workset.py","4123","2026-05-10T07:59:00"
"02_local_scripts_py\prepare_core_experience_round2_batches.py","3720","2026-05-10T08:20:30"
"02_local_scripts_py\prepare_experience_label_templates.py","4913","2026-05-10T07:18:28"
"02_local_scripts_py\prepare_grosspath_rc_v2_finetune_inputs_20260526.py","7288","2026-05-27T00:23:08"
"02_local_scripts_py\prepare_image_transform_dataset_20260521.py","1823","2026-05-22T20:25:45"
"02_local_scripts_py\prepare_manual_revised_experience_labels.py","6313","2026-05-11T18:37:36"
"02_local_scripts_py\prepare_roi_cropm_dataset_20260521.py","2020","2026-05-21T18:00:44"
"02_local_scripts_py\prepare_task56_registry.py","3160","2026-05-13T15:56:29"
"02_local_scripts_py\prepare_task567_multiview_variant.py","8370","2026-05-15T15:07:15"
"02_local_scripts_py\prepare_task7_adapt72_norep_finetune_inputs_20260522.py","4015","2026-05-22T13:11:09"
"02_local_scripts_py\prepare_task7_allthird_balanced_finetune_inputs_20260523.py","3895","2026-05-23T14:54:33"
"02_local_scripts_py\prepare_task7_antishortcut_balanced_core.py","5078","2026-05-18T20:13:14"
"02_local_scripts_py\prepare_task7_antishortcut_labels.py","9507","2026-05-18T19:49:31"
"02_local_scripts_py\prepare_task7_cut_oriented_registry.py","2896","2026-05-16T00:20:08"
"02_local_scripts_py\prepare_task7_gross_boundary_aux_labels_20260520.py","11389","2026-05-20T14:38:50"
"02_local_scripts_py\prepare_task7_hardcore_persistent_review.py","10092","2026-05-19T14:01:28"
"02_local_scripts_py\prepare_task7_third_adapt72_highfocus_finetune_inputs_20260521.py","8739","2026-05-21T22:01:28"
"02_local_scripts_py\prepare_task7_viewtype_templates.py","7676","2026-05-15T16:09:22"
"02_local_scripts_py\render_doctor_report_pdf.py","7868","2026-05-25T13:49:55"
"02_local_scripts_py\run_biomedclip_frozen_probe.py","22697","2026-05-07T17:50:48"
"02_local_scripts_py\run_dinov2_dual_finetune.py","16078","2026-05-16T16:32:39"
"02_local_scripts_py\run_dinov2_finetune.py","15155","2026-05-16T15:39:53"
"02_local_scripts_py\run_dinov2_frozen_probe.py","33099","2026-05-16T19:37:20"
"02_local_scripts_py\run_dinov2_multitask_finetune.py","37814","2026-05-20T22:03:35"
"02_local_scripts_py\run_dinov2_task4_hierprobe.py","21213","2026-05-07T19:31:02"
"02_local_scripts_py\run_grosspath_rc_gate_v21_20260527.py","17611","2026-05-27T01:02:55"
"02_local_scripts_py\run_grosspath_rc_gate_v22_rule_search_20260527.py","8718","2026-05-27T01:51:55"
"02_local_scripts_py\run_grosspath_rc_v0_20260526.py","35631","2026-05-26T21:21:07"
"02_local_scripts_py\run_grosspath_rc_v0_concept_heads_20260526.py","8130","2026-05-26T21:24:06"
"02_local_scripts_py\run_grosspath_rc_v0_workflow_policy_20260526.py","13042","2026-05-26T21:34:54"
"02_local_scripts_py\run_grosspath_rc_v1_20260526.py","30885","2026-05-26T22:10:22"
"02_local_scripts_py\run_grosspath_rc_v100_fn_sentinel_nested_validation_20260527.py","10990","2026-05-27T09:10:35"
"02_local_scripts_py\run_grosspath_rc_v101_multimodel_oof_fn_sentinel_20260527.py","14494","2026-05-27T09:19:39"
"02_local_scripts_py\run_grosspath_rc_v102_external_approx_multimodel_sentinel_20260527.py","10576","2026-05-27T09:29:59"
"02_local_scripts_py\run_grosspath_rc_v103_multimodel_sentinel_mechanism_20260527.py","10814","2026-05-27T09:33:52"
"02_local_scripts_py\run_grosspath_rc_v104_multimodel_ab_filtered_sentinel_20260527.py","14911","2026-05-27T09:40:27"
"02_local_scripts_py\run_grosspath_rc_v105_stability_distilled_scorecard_20260527.py","12677","2026-05-27T09:45:11"
"02_local_scripts_py\run_grosspath_rc_v106_external_compatible_wholecrop_scorecard_20260527.py","12111","2026-05-27T09:52:02"
"02_local_scripts_py\run_grosspath_rc_v107_scorecard_evidence_ladder_20260527.py","10341","2026-05-27T10:01:01"
"02_local_scripts_py\run_grosspath_rc_v108_v105_crop_proxy_external_scorecard_20260527.py","10673","2026-05-27T10:13:16"
"02_local_scripts_py\run_grosspath_rc_v109_internal_selected_scorecard_operating_points_20260527.py","8920","2026-05-27T10:16:11"
"02_local_scripts_py\run_grosspath_rc_v110_high_safety_branch_with_v109_scorecard_20260527.py","8290","2026-05-27T10:19:56"
"02_local_scripts_py\run_grosspath_rc_v111_branch_specific_v109_v79strict_20260527.py","4213","2026-05-27T10:21:01"
"02_local_scripts_py\run_grosspath_rc_v112_symmetric_lowrisk_guard_20260527.py","10844","2026-05-27T10:31:23"
"02_local_scripts_py\run_grosspath_rc_v113_triple_guard_zero_error_candidate_20260527.py","10006","2026-05-27T10:35:38"
"02_local_scripts_py\run_grosspath_rc_v114_nested_directional_guards_20260527.py","14486","2026-05-27T10:42:41"
"02_local_scripts_py\run_grosspath_rc_v115_nested_stable_envelope_fp_guard_20260527.py","8270","2026-05-27T10:48:42"
"02_local_scripts_py\run_grosspath_rc_v116_evidence_tier_summary_20260527.py","7144","2026-05-27T10:55:56"
"02_local_scripts_py\run_grosspath_rc_v117_two_signal_bidirectional_scorecard_20260527.py","9626","2026-05-27T11:07:40"
"02_local_scripts_py\run_grosspath_rc_v118_global_two_signal_scorecard_20260527.py","7635","2026-05-27T11:11:07"
"02_local_scripts_py\run_grosspath_rc_v119_bidirectional_two_signal_map_20260527.py","7462","2026-05-27T11:14:51"
"02_local_scripts_py\run_grosspath_rc_v120_residual_fn_crop_rescue_validation_20260527.py","9992","2026-05-27T11:18:48"
"02_local_scripts_py\run_grosspath_rc_v121_paper_ready_scorecard_pack_20260527.py","7058","2026-05-27T11:22:04"
"02_local_scripts_py\run_grosspath_rc_v122_two_signal_ablation_robustness_20260527.py","12347","2026-05-27T11:26:51"
"02_local_scripts_py\run_grosspath_rc_v123_paired_stats_confidence_20260527.py","9137","2026-05-27T11:36:41"
"02_local_scripts_py\run_grosspath_rc_v124_review_efficiency_frontier_20260527.py","6498","2026-05-27T11:40:54"
"02_local_scripts_py\run_grosspath_rc_v125_paper_results_pack_20260527.py","8106","2026-05-27T11:44:58"
"02_local_scripts_py\run_grosspath_rc_v126_leave_domain_two_signal_validation_20260527.py","10375","2026-05-27T11:49:18"
"02_local_scripts_py\run_grosspath_rc_v127_leave_domain_stable_envelope_20260527.py","11389","2026-05-27T11:51:08"
"02_local_scripts_py\run_grosspath_rc_v128_capped_leave_domain_envelope_20260527.py","10141","2026-05-27T11:52:36"
"02_local_scripts_py\run_grosspath_rc_v129_stability_results_pack_20260527.py","4448","2026-05-27T11:55:52"
"02_local_scripts_py\run_grosspath_rc_v130_leave_one_fp_out_validation_20260527.py","9464","2026-05-27T12:02:49"
"02_local_scripts_py\run_grosspath_rc_v131_final_results_pack_with_fp_leaveout_20260527.py","3196","2026-05-27T12:05:37"
"02_local_scripts_py\run_grosspath_rc_v132_doctor_paper_pdf_brief_20260527.py","14688","2026-05-27T12:11:02"
"02_local_scripts_py\run_grosspath_rc_v134_cascade_auto_corrector_20260527.py","26702","2026-05-27T14:10:26"
"02_local_scripts_py\run_grosspath_rc_v134b_cascade_auto_corrector_20260527.py","26803","2026-05-27T13:57:45"
"02_local_scripts_py\run_grosspath_rc_v134c_cascade_auto_corrector_20260527.py","26702","2026-05-27T14:10:26"
"02_local_scripts_py\run_grosspath_rc_v135_stage1_base_candidate_scan_20260527.py","10191","2026-05-27T14:16:12"
"02_local_scripts_py\run_grosspath_rc_v136_leakage_safe_base_cascade_20260527.py","20438","2026-05-27T14:34:30"
"02_local_scripts_py\run_grosspath_rc_v136b_leakage_safe_base_cascade_20260527.py","20011","2026-05-27T14:27:26"
"02_local_scripts_py\run_grosspath_rc_v136c_leakage_safe_base_cascade_20260527.py","20438","2026-05-27T14:34:30"
"02_local_scripts_py\run_grosspath_rc_v137_directional_rule_router_20260527.py","14009","2026-05-27T14:52:00"
"02_local_scripts_py\run_grosspath_rc_v137b_directional_rule_router_20260527.py","14009","2026-05-27T14:52:00"
"02_local_scripts_py\run_grosspath_rc_v138_fast_directional_router_20260527.py","12007","2026-05-27T14:54:33"
"02_local_scripts_py\run_grosspath_rc_v139_internal_domain_selected_framework_20260527.py","14388","2026-05-27T15:29:58"
"02_local_scripts_py\run_grosspath_rc_v142_concept_guided_error_router_20260527.py","15117","2026-05-27T16:26:04"
"02_local_scripts_py\run_grosspath_rc_v143_image_feature_error_router_20260527.py","16324","2026-05-27T16:34:14"
"02_local_scripts_py\run_grosspath_rc_v144_distilled_concept_router_20260527.py","19944","2026-05-27T16:57:07"
"02_local_scripts_py\run_grosspath_rc_v145_fusion_router_20260527.py","9054","2026-05-27T17:08:37"
"02_local_scripts_py\run_grosspath_rc_v146_domain_split_router_selection_20260527.py","3961","2026-05-27T17:11:15"
"02_local_scripts_py\run_grosspath_rc_v147_unlabeled_shift_aware_router_card_20260527.py","11629","2026-05-27T17:17:59"
"02_local_scripts_py\run_grosspath_rc_v148_router_card_comparative_evidence_20260527.py","7508","2026-05-27T17:24:20"
"02_local_scripts_py\run_grosspath_rc_v149_directional_auto_flip_corrector_20260527.py","4514","2026-05-27T17:35:35"
"02_local_scripts_py\run_grosspath_rc_v150_severe_shift_hybrid_correct_review_20260527.py","5907","2026-05-27T17:39:04"
"02_local_scripts_py\run_grosspath_rc_v151_no_leak_autoflip_budget_selection_20260527.py","4051","2026-05-27T17:41:27"
"02_local_scripts_py\run_grosspath_rc_v152_framework_evidence_pack_20260527.py","25708","2026-05-27T17:51:31"
"02_local_scripts_py\run_grosspath_rc_v153_high_precision_autoflip_trigger_20260527.py","9904","2026-05-27T17:55:24"
"02_local_scripts_py\run_grosspath_rc_v154_pseudo_severe_shift_autoflip_selection_20260527.py","9826","2026-05-27T18:10:33"
"02_local_scripts_py\run_grosspath_rc_v155_autocorrect_evidence_update_20260527.py","8895","2026-05-27T18:22:45"
"02_local_scripts_py\run_grosspath_rc_v156_severe_shift_gate_safety_boundary_20260527.py","11209","2026-05-27T18:32:12"
"02_local_scripts_py\run_grosspath_rc_v157_framework_claim_status_after_v156_20260527.py","10322","2026-05-27T18:37:37"
"02_local_scripts_py\run_grosspath_rc_v158_unlabeled_gate_threshold_stability_20260527.py","9488","2026-05-27T18:41:34"
"02_local_scripts_py\run_grosspath_rc_v159_unified_workflow_operating_table_20260527.py","12653","2026-05-27T18:49:39"
"02_local_scripts_py\run_grosspath_rc_v160_safety_efficiency_operating_frontier_20260527.py","10171","2026-05-27T18:54:48"
"02_local_scripts_py\run_grosspath_rc_v161_safe_release_from_high_safety_review_pool_20260527.py","10561","2026-05-27T19:00:59"
"02_local_scripts_py\run_grosspath_rc_v162_frontier_after_safe_release_20260527.py","5036","2026-05-27T19:04:06"
"02_local_scripts_py\run_grosspath_rc_v163_safe_release_leave_domain_validation_20260527.py","9510","2026-05-27T19:07:39"
"02_local_scripts_py\run_grosspath_rc_v164_stable_safe_release_strategy_compare_20260527.py","14284","2026-05-27T19:12:47"
"02_local_scripts_py\run_grosspath_rc_v165_safe_release_evidence_pack_20260527.py","11189","2026-05-27T19:17:02"
"02_local_scripts_py\run_grosspath_rc_v166_safe_release_stage_report_20260527.py","15193","2026-05-27T19:26:33"
